quota_id,其他材料费,采购保管费
A14-250,0.02,
A14-251,0.014150000000000001,
A14-252,0.005,
A14-253,0.005,
A14-255,0.005,
A14-256,0.005,
A14-257,0.005,
A14-258,0.005,
A14-259,0.005,
A14-26,0.02,
A14-261,0.005,
A14-262,0.005,
A14-264,0.005,
A14-265,0.005,
A14-267,0.005,
A14-268,0.005,
A14-269,0.005,
A14-27,0.02,
A14-271,0.005,
A14-272,0.005,
A14-274,0.005,
A14-275,0.005,
A14-276,0.005,
A14-278,0.005,
A14-279,0.005,
A14-28,0.02,
A14-281,0.005,
A14-282,0.005,
A14-283,0.005,
A14-285,0.015,
A14-29,0.02,
A14-30,0.02,
A14-302,0.02,
A14-303,0.02,
A14-304,0.02,
A14-305,0.02,
A14-306,0.01,
A14-307,0.01,
A14-308,0.006,
A14-309,0.006,
A14-31,0.02,
A14-310,0.001,
A14-311,0.002,
A14-312,0.0030299999999999997,
A14-313,0.0034100000000000003,
A14-314,0.00378,
A14-315,0.0010299999999999999,
A14-316,0.00131,
A14-317,0.00158,
A14-318,0.0027800000000000004,
A14-319,0.00196,
A14-32,0.02,
A14-320,0.00247,
A14-321,0.00165,
A14-322,0.02,
A14-323,0.02,
A14-324,0.02,
A14-325,0.02,
A14-326,0.02,
A14-327,0.02,
A14-328,0.02,
A14-329,0.02,
A14-33,0.02,
A14-330,0.00508,
A14-331,0.00299,
A14-333,0.00145,
A14-334,0.011559999999999999,
A14-335,0.02,
A14-336,0.02,
A14-337,0.02,
A14-338,0.02,
A14-339,0.02,
A14-34,0.02,
A14-340,0.02,
A14-341,0.02,
A14-342,0.02,
A14-343,0.02,
A14-344,0.02,
A14-345,0.02,
A14-35,0.02,
A14-36,0.01,
A14-37,0.01,
A14-38,0.02,
A14-39,0.02,
A14-40,0.02,
A14-41,0.02,
A14-42,0.02,
A14-43,0.02,
A14-44,0.02,
A14-45,0.02,
A14-46,0.02,
A14-47,0.01,
A14-48,0.01,
A14-49,0.01,
A14-50,0.01,
A14-51,0.01,
A14-52,0.005,
A14-53,0.005,
A14-54,0.003,
A14-55,0.003,
A14-56,0.01,
A14-57,0.006,
A14-58,0.006999999999999999,
A14-59,0.005,
A14-6,0.01,
A14-60,0.01,
A14-61,0.006,
A14-62,0.005,
A14-63,0.002,
A14-66,0.02,
A14-67,0.02,
A14-68,0.02,
A14-69,0.02,
A14-7,0.01,
A14-70,0.02,
A14-71,0.01,
A14-72,0.005,
A14-73,0.01,
A14-74,0.005,
A14-75,0.02,
A14-76,0.01,
A14-77,0.006,
A14-78,0.005,
A14-79,0.005,
A14-8,0.01,
A14-80,0.01,
A14-81,0.008,
A14-82,0.005,
A14-83,0.005,
A14-84,0.005,
A14-85,0.002,
A14-86,0.005,
A14-87,0.004,
A14-88,0.004,
A14-89,0.002,
A14-9,0.01,
A14-90,0.0002,
A14-91,0.02,
A14-92,0.02,
A14-93,0.01,
A14-94,0.02,
A14-95,0.01,
A14-96,0.01,
A14-97,0.01,
A14-98,0.01,
A14-99,0.01,
A16-181,0.02,
A16-182,0.02,
A16-183,0.02,
A16-93,0.02,
A17-44,0.02,
A9-106,0.001,
A9-108,0.006,
A9-117,0.0025,
A9-135,0.001,
A9-136,0.001,
A9-156,0.0025,
A9-157,0.0025,
A9-16,0.0025,
A9-17,0.0025,
A9-20,0.0025,
A9-21,0.0025,
A9-22,0.0025,
A9-31,0.015,
A9-32,0.015,
A9-37,0.0025,
A9-38,0.0025,
A9-39,0.0025,
A9-54,0.0025,
A9-55,0.0025,
A9-56,0.0025,
A9-57,0.0025,
A9-58,0.015,
A9-59,0.015,
A9-82,0.0038,
A9-83,0.0038,
A9-84,0.0038,
A9-85,0.0038,
A9-90,0.02,
